IG,JG
1488,410
1489,410
1490,410
835,411
836,411
1031,411
1032,411
1033,411
1485,411
1486,411
1487,411
1488,411
836,412
837,412
1030,412
1031,412
1482,412
1483,412
1484,412
1485,412
837,413
838,413
1029,413
1030,413
1474,413
1475,413
1476,413
1477,413
1478,413
1479,413
1480,413
1481,413
1482,413
838,414
839,414
840,414
1028,414
1029,414
1454,414
1455,414
1456,414
1457,414
1458,414
1459,414
1460,414
1461,414
1462,414
1463,414
1464,414
1465,414
1466,414
1467,414
1468,414
1469,414
1470,414
1471,414
1472,414
1473,414
1474,414
840,415
841,415
842,415
843,415
844,415
845,415
846,415
847,415
848,415
849,415
850,415
851,415
852,415
853,415
854,415
855,415
856,415
857,415
858,415
1027,415
1028,415
1451,415
1452,415
1453,415
1454,415
858,416
859,416
860,416
1026,416
1027,416
1450,416
1451,416
860,417
861,417
1026,417
1449,417
1450,417
861,418
862,418
1026,418
1449,418
862,419
1026,419
1448,419
1449,419
862,420
863,420
1026,420
1448,420
863,421
864,421
1026,421
1448,421
864,422
1025,422
1026,422
1448,422
864,423
865,423
1025,423
1448,423
865,424
1025,424
1448,424
865,425
866,425
1025,425
1448,425
866,426
1025,426
1448,426
866,427
867,427
1025,427
1448,427
867,428
1025,428
1448,428
867,429
868,429
1025,429
1448,429
868,430
869,430
1024,430
1025,430
1448,430
869,431
870,431
1024,431
1447,431
1448,431
870,432
1024,432
1447,432
870,433
871,433
1024,433
1446,433
1447,433
871,434
872,434
1024,434
1446,434
872,435
873,435
1023,435
1024,435
1445,435
1446,435
873,436
874,436
1023,436
1445,436
874,437
875,437
1022,437
1023,437
1444,437
1445,437
875,438
876,438
1022,438
1443,438
1444,438
876,439
877,439
1020,439
1021,439
1022,439
1442,439
1443,439
877,440
878,440
879,440
1018,440
1019,440
1020,440
1440,440
1441,440
1442,440
879,441
880,441
881,441
1017,441
1018,441
1439,441
1440,441
881,442
882,442
1015,442
1016,442
1017,442
1438,442
1439,442
882,443
883,443
1013,443
1014,443
1015,443
1437,443
1438,443
883,444
884,444
1011,444
1012,444
1013,444
1435,444
1436,444
1437,444
884,445
885,445
1010,445
1011,445
1434,445
1435,445
885,446
886,446
1008,446
1009,446
1010,446
1432,446
1433,446
1434,446
886,447
1007,447
1008,447
1431,447
1432,447
886,448
887,448
1006,448
1007,448
1429,448
1430,448
1431,448
887,449
888,449
1004,449
1005,449
1006,449
1428,449
1429,449
888,450
1003,450
1004,450
1426,450
1427,450
1428,450
888,451
889,451
1003,451
1424,451
1425,451
1426,451
889,452
1002,452
1003,452
1421,452
1422,452
1423,452
1424,452
889,453
890,453
1002,453
1420,453
1421,453
890,454
1001,454
1002,454
1418,454
1419,454
1420,454
890,455
1001,455
1416,455
1417,455
1418,455
890,456
891,456
1001,456
1415,456
1416,456
891,457
1001,457
1413,457
1414,457
1415,457
891,458
1001,458
1413,458
891,459
1001,459
1412,459
1413,459
891,460
892,460
1001,460
1002,460
1411,460
1412,460
891,461
892,461
1002,461
1411,461
891,462
1002,462
1410,462
1411,462
891,463
1002,463
1003,463
1409,463
1410,463
891,464
1003,464
1409,464
891,465
1003,465
1408,465
1409,465
891,466
1003,466
